Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,A,3,01_SE_A_3,6,1,KFZ,Spielstraße,breit,nein,normal,
SE,A,4,01_SE_A_4,6,1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,A,5,01_SE_A_5,6,1,KFZ,Fahrradstraße-Hollandaise,breit,nein,autofrei,
SE,A,11,01_SE_A_11,6,1,Einbahnstraße,-,breit,nein,normal,
SE,A,12,01_SE_A_12,6,1,Einbahnstraße,Fahrradstraße,breit,nein,normal,
SE,A,13,01_SE_A_13,6,1,Einbahnstraße,Spielstraße,breit,nein,normal,
SE,A,14,01_SE_A_14,6,1,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,A,16,01_SE_A_16,6,1,Einbahnstraße-Gegenverkehr,-,breit,nein,normal,
SE,A,17,01_SE_A_17,6,1,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,nein,normal,
SE,A,18,01_SE_A_18,6,1,Einbahnstraße-Gegenverkehr,Spielstraße,breit,nein,normal,
SE,A,19,01_SE_A_19,6,1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,A,21,01_SE_A_21,6,2,KFZ,-,breit,Parken-einseitig,normal,
SE,A,22,01_SE_A_22,6,2,KFZ,Fahrradstraße,breit,Parken-einseitig,normal,
SE,A,23,01_SE_A_23,6,2,KFZ,Spielstraße,breit,Parken-einseitig,normal,
SE,A,24,01_SE_A_24,6,2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,A,25,01_SE_A_25,6,2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,autofrei,
SE,A,31,01_SE_A_31,6,2,Einbahnstraße,-,breit,Parken-einseitig,normal,
SE,A,32,01_SE_A_32,6,2,Einbahnstraße,Fahrradstraße,breit,Parken-einseitig,normal,
